,question,answer,intent,reward,feedback
1,Điều gì được quy định ở phạm vi điều chỉnh của luật hôn nhân và gia đình,"Luật này quy định về chế độ hôn nhân và gia đình, chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình, và trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,1,
2,Phạm vi điều chỉnh của luật hôn nhân và gia đình là gì,"Luật này quy định chế độ hôn nhân và gia đình; chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình; trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,0.6,
3,Nguyên tắc cơ bản nào về hôn nhân và gia đình được quy định?,"Nguyên tắc cơ bản bao gồm hôn nhân tự nguyện, một vợ một chồng, vợ chồng bình đẳng, tôn trọng giữa các dân tộc, tôn giáo, tín ngưỡng khác nhau, và bảo vệ quyền của công dân Việt Nam và người nước ngoài.",CHUONG_1,0.7,
4,Những yếu tố nào cấu thành chế độ hôn nhân và gia đình?,"Các yếu tố bao gồm hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng, và trách nhiệm của cá nhân, tổ chức, Nhà nước, và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình.",CHUONG_1,0.8,
5,Hôn nhân giữa người có tín ngưỡng và người không có tín ngưỡng được quyền lợi gì?,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.,CHUONG_1,0.9,
6,Hôn nhân giữa người có tín ngưỡng và người không có tín ngưỡng có được không?,"Được, Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.",CHUONG_1,1,
7,"Hôn nhân giữa công dân Việt Nam thuộc các dân tộc, tôn giáo có quyền lợi gì",Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.,CHUONG_1,0.9,
8,Hôn nhân giữa công dân Việt Nam với người nước ngoài như thế nào,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.,CHUONG_1,0.8,
9,Nguyên tắc cơ bản về gia đình?,"Là xây dựng gia đình ấm no, tiến bộ, hạnh phúc; các thành viên gia đình có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; không phân biệt đối xử giữa các con.",CHUONG_1,0.9,
10,"Gia đình và xã hội có trách nhiệm gì đối với trẻ em, người cao tuổi, và người khuyết tật?","Gia đình và xã hội có trách nhiệm bảo vệ, hỗ trợ trẻ em, người cao tuổi, người khuyết tật thực hiện các quyền về hôn nhân và gia đình; giúp đỡ các bà mẹ thực hiện tốt chức năng cao quý của người mẹ; thực hiện kế hoạch hóa gia đình.",CHUONG_1,0.7,
