,intent,answer
0,No intent detected,I have no idea to answer
1,CHUONG_1,"Luật này quy định về chế độ hôn nhân và gia đình, chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình, và trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình."
2,CHUONG_1,"Luật này quy định chế độ hôn nhân và gia đình; chuẩn mực pháp lý cho cách ứng xử giữa các thành viên gia đình; trách nhiệm của cá nhân, tổ chức, Nhà nước và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình."
3,CHUONG_1,"Nguyên tắc cơ bản bao gồm hôn nhân tự nguyện, một vợ một chồng, vợ chồng bình đẳng, tôn trọng giữa các dân tộc, tôn giáo, tín ngưỡng khác nhau, và bảo vệ quyền của công dân Việt Nam và người nước ngoài."
4,CHUONG_1,"Các yếu tố bao gồm hôn nhân tự nguyện, tiến bộ, một vợ một chồng, vợ chồng bình đẳng, và trách nhiệm của cá nhân, tổ chức, Nhà nước, và xã hội trong việc xây dựng, củng cố chế độ hôn nhân và gia đình."
5,CHUONG_1,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.
6,CHUONG_1,"Được, Được tôn trọng và được pháp luật bảo vệ theo quy định của luật."
7,CHUONG_1,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.
8,CHUONG_1,Được tôn trọng và được pháp luật bảo vệ theo quy định của luật.
9,CHUONG_1,"Là xây dựng gia đình ấm no, tiến bộ, hạnh phúc; các thành viên gia đình có nghĩa vụ tôn trọng, quan tâm, chăm sóc, giúp đỡ nhau; không phân biệt đối xử giữa các con."
10,CHUONG_1,"Gia đình và xã hội có trách nhiệm bảo vệ, hỗ trợ trẻ em, người cao tuổi, người khuyết tật thực hiện các quyền về hôn nhân và gia đình; giúp đỡ các bà mẹ thực hiện tốt chức năng cao quý của người mẹ; thực hiện kế hoạch hóa gia đình."
11,CHUONG_1,"Kế thừa và phát huy truyền thống văn hóa, đạo đức tốt đẹp của dân tộc Việt Nam về hôn nhân và gia đình."
12,CHUONG_1,Hôn nhân là quan hệ giữa vợ và chồng sau khi kết hôn.
13,CHUONG_1,"Gia đình là tập hợp những người gắn bó với nhau do hôn nhân, quan hệ huyết thống hoặc quan hệ nuôi dưỡng, làm phát sinh các quyền và nghĩa vụ giữa họ với nhau."
14,CHUONG_1,"Chế độ hôn nhân và gia đình bao gồm toàn bộ quy định của pháp luật về kết hôn, ly hôn; quyền và nghĩa vụ giữa vợ và chồng, giữa cha mẹ và con, giữa các thành viên khác trong gia đình; cấp dưỡng; xác định cha, mẹ, con; quan hệ hôn nhân và gia đình có yếu tố nước ngoài và những vấn đề khác liên quan."
15,CHUONG_1,"Tập quán về hôn nhân và gia đình là quy tắc xử sự có nội dung rõ ràng về quyền, nghĩa vụ của các bên trong quan hệ hôn nhân và gia đình, được lặp đi, lặp lại trong một thời gian dài và được thừa nhận rộng rãi trong một vùng, miền hoặc cộng đồng."
16,CHUONG_1,Kết hôn là việc nam và nữ xác lập quan hệ vợ chồng với nhau theo quy định về điều kiện kết hôn và đăng ký kết hôn.
17,CHUONG_1,"Kết hôn trái pháp luật là việc nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước có thẩm quyền nhưng một bên hoặc cả hai bên vi phạm điều kiện kết hôn theo quy định tại Điều 8."
18,CHUONG_1,"Kết hôn trái pháp luật xảy ra khi nam, nữ đã đăng ký kết hôn tại cơ quan nhà nước nhưng vi phạm điều kiện kết hôn theo quy định tại Điều 8."
19,CHUONG_1,"Chung sống như vợ chồng là việc nam, nữ tổ chức cuộc sống chung và coi nhau là vợ chồng."
20,CHUONG_1,"Tảo hôn là việc lấy vợ, lấy chồng khi một bên hoặc cả hai bên chưa đủ tuổi kết hôn theo quy định tại điểm a khoản 1 Điều 8."
21,CHUONG_1,"Cưỡng ép kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để buộc người khác phải kết hôn hoặc ly hôn trái với ý muốn của họ."
22,CHUONG_1,"Cản trở kết hôn, ly hôn là việc đe dọa, uy hiếp tinh thần, hành hạ, ngược đãi, yêu sách của cải hoặc hành vi khác để ngăn cản việc kết hôn của người có đủ điều kiện kết hôn theo quy định hoặc buộc người khác phải duy trì quan hệ hôn nhân trái với ý muốn của họ."
23,CHUONG_1,"Kết hôn giả tạo là việc lợi dụng kết hôn để xuất cảnh, nhập cảnh, cư trú, nhập quốc tịch Việt Nam, quốc tịch nước ngoài; hưởng chế độ ưu đãi của Nhà nước hoặc để đạt được mục đích khác mà không nhằm mục đích xây dựng gia đình."
24,CHUONG_1,"Yêu sách của cải trong kết hôn là việc đòi hỏi về vật chất một cách quá đáng và coi đó là điều kiện để kết hôn nhằm cản trở việc kết hôn tự nguyện của nam, nữ."
25,CHUONG_1,"Thời kỳ hôn nhân là khoảng thời gian tồn tại quan hệ vợ chồng, được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân."
26,CHUONG_1,"Ly hôn là việc chấm dứt quan hệ vợ chồng theo bản án, quyết định có hiệu lực pháp luật của Tòa án."
27,CHUONG_1,"y hôn giả tạo là việc lợi dụng ly hôn để trốn tránh nghĩa vụ tài sản, vi phạm chính sách, pháp luật về dân số hoặc để đạt được mục đích khác mà không nhằm mục đích chấm dứt hôn nhân."
28,CHUONG_1,"Thành viên gia đình bao gồm vợ, chồng; cha mẹ đẻ, cha mẹ nuôi, cha dượng, mẹ kế, cha mẹ vợ, cha mẹ chồng; con đẻ, con nuôi, con riêng của vợ hoặc chồng, con dâu, con rể; anh, chị, em cùng cha mẹ, anh, chị, em cùng cha khác mẹ, anh, chị, em cùng mẹ khác cha, anh rể, em rể, chị dâu, em dâu của người cùng cha mẹ hoặc cùng cha khác mẹ, cùng mẹ khác cha; ông bà nội, ông bà ngoại; cháu nội, cháu ngoại; cô, dì, chú, cậu, bác ruột và cháu ruột."
29,CHUONG_1,"Những người cùng dòng máu về trực hệ là những người có quan hệ huyết thống, trong đó, người này sinh ra người kia kế tiếp nhau."
30,CHUONG_1,"Những người có họ trong phạm vi ba đời là những người cùng một gốc sinh ra gồm cha mẹ là đời thứ nhất; anh, chị, em cùng cha mẹ, cùng cha khác mẹ, cùng mẹ khác cha là đời thứ hai; anh, chị, em con chú, con bác, con cô, con cậu, con dì là đời thứ ba."
31,CHUONG_1,"Người thân thích là người có quan hệ hôn nhân, nuôi dưỡng, người có cùng dòng máu về trực hệ và người có họ trong phạm vi ba đời."
32,CHUONG_1,"Nhu cầu thiết yếu là nhu cầu sinh hoạt thông thường về ăn, mặc, ở, học tập, khám bệnh, chữa bệnh và nhu cầu sinh hoạt thông thường khác không thể thiếu cho cuộc sống của mỗi người, mỗi gia đình."
33,CHUONG_1,"Trong việc sinh con bằng kỹ thuật hỗ trợ sinh sản, sử dụng thụ tinh nhân tạo hoặc thụ tinh trong ống nghiệm."
34,CHUONG_1,Mục đích của việc mang thai hộ vì mục đích nhân đạo là giúp mang thai cho cặp vợ chồng mà người vợ không thể mang thai và sinh con ngay cả khi áp dụng kỹ thuật hỗ trợ sinh sản.
35,CHUONG_1,Việc mang thai hộ vì mục đích thương mại là việc một người phụ nữ mang thai cho người khác với mục đích nhận lợi ích về mặt kinh tế hoặc lợi ích khác.
36,CHUONG_1,"Cấp dưỡng là việc một người có nghĩa vụ đóng góp tiền hoặc tài sản khác để đáp ứng nhu cầu thiết yếu của người không sống chung với mình mà có quan hệ hôn nhân, huyết thống hoặc nuôi dưỡng theo quy định của Luật này."
37,CHUONG_1,"Quan hệ hôn nhân và gia đình có yếu tố nước ngoài là quan hệ hôn nhân và gia đình mà ít nhất một bên tham gia là người nước ngoài, người Việt Nam định cư ở nước ngoài; quan hệ hôn nhân và gia đình giữa các bên tham gia là công dân Việt Nam nhưng căn cứ để xác lập, thay đổi, chấm dứt quan hệ đó theo pháp luật nước ngoài, phát sinh tại nước ngoài hoặc tài sản liên quan đến quan hệ đó ở nước ngoài."
38,CHUONG_1,Thời kỳ hôn nhân được tính từ ngày đăng ký kết hôn đến ngày chấm dứt hôn nhân.
