answer,intent
"Theo quy định của Điều 68, quyền và nghĩa vụ của cha mẹ và con được tôn trọng và bảo vệ theo quy định của Luật Hôn nhân và Gia đình, Bộ luật dân sự và các luật khác có liên quan.",05_68_1
"Có, quyền và nghĩa vụ của cha mẹ và con theo quy định tại luật Hôn nhân và gia đình điều 68, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ.",05_68_1
"Quyền và nghĩa vụ của cha mẹ và con theo quy định tại luật Hôn nhân và gia đình điều 68, Bộ luật dân sự và các luật khác có liên quan được tôn trọng và bảo vệ.",05_68_1
"Theo Điều 68, con sinh ra không phụ thuộc vào tình trạng hôn nhân của cha mẹ và đều có quyền và nghĩa vụ như nhau đối với cha mẹ của mình, được quy định tại Luật Hôn nhân và Gia đình, Bộ luật dân sự và các luật khác có liên quan.",05_68_2
"Con sinh ra không phụ thuộc vào tình trạng hôn nhân của cha mẹ đều có quyền và nghĩa vụ như nhau đối với cha mẹ của mình được quy định tại Luật Hôn nhân và gia đình, Bộ luật dân sư và các luật khác có liên quan",05_68_2
"Theo quy định của Điều 68, giữa con nuôi và cha nuôi, mẹ nuôi có các quyền và nghĩa vụ của cha mẹ và con được quy định tại Luật Hôn nhân và Gia đình, Luật nuôi con nuôi, Bộ luật dân sự và các luật khác có liên quan.",05_68_3
"Mọi thỏa thuận của cha mẹ, con liên quan đến quan hệ nhân thân và tài sản không được làm ảnh hưởng đến quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình, cha mẹ mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",05_68_4
"Mọi thỏa thuận của cha mẹ, con liên quan đến quan hệ nhân thân và tài sản không được làm ảnh hưởng đến quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự",05_68_4
"Theo Điều 69, cha mẹ có nghĩa vụ và quyền bao gồm thương yêu con, tôn trọng ý kiến của con; chăm lo việc học tập, giáo dục để con phát triển lành mạnh về thể chất, trí tuệ, đạo đức, trở thành người con hiếu thảo của gia đình, công dân có ích cho xã hội. Đồng thời, cha mẹ cũng có trách nhiệm trông nom, nuôi dưỡng, chăm sóc, bảo vệ quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. Cha mẹ còn có trách nhiệm giám hộ hoặc đại diện theo quy định của Bộ luật dân sự cho con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự. Đồng thời, cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ; không được lạm dụng sức lao động của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động; không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",05_69_1
"Trông nom, nuôi dưỡng, chăm sóc bảo vệ quyền, lợi ích hợp pháp của con đã thành niên nhưng mất hành vị dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. Giám hộ hoặc đại diện theo quy định của Bộ luật dân sư, không được phân biệt đối xử với con trên cơ sở giới tính hoặc theo tình trạng hôn nhân của cha mẹ. Không được lạm dụng sức lao động của con đã thành niên nhưng mất năng lực dân sự hoặc không có khả năng lao động, không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",05_69_1
"Trông nom, nuôi dưỡng, chăm sóc bảo vệ quyền, lợi ích hợp pháp của con chưa thành niên, Giám hộ hoặc đại diện theo quy định của Bộ luật dân sư, không được phân biệt đối xử với con trên cơ sở giới tính hoặc theo tình trạng hôn nhân của cha mẹ. Không được lạm dụng sức lao động của con chưa thành niên, không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",05_69_1
"Cha mẹ có nghĩa vụ và quyền bao gồm thương yêu con, tôn trọng ý kiến của con; chăm lo việc học tập, giáo dục để con phát triển lành mạnh về thể chất, trí tuệ, đạo đức, trở thành người con hiếu thảo của gia đình, công dân có ích cho xã hội. Đồng thời, cha mẹ cũng có trách nhiệm trông nom, nuôi dưỡng, chăm sóc, bảo vệ quyền, lợi ích hợp pháp của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình. Cha mẹ còn có trách nhiệm giám hộ hoặc đại diện theo quy định của Bộ luật dân sự cho con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự. Đồng thời, cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ; không được lạm dụng sức lao động của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động; không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",05_69_1
"Theo Điều 69, cha mẹ có trách nhiệm trông nom, nuôi dưỡng, chăm sóc, bảo vệ quyền, lợi ích hợp pháp của con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình.",05_69_2
"Theo Điều 69, cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ; không được lạm dụng sức lao động của con chưa thành niên, con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động; không được xúi giục, ép buộc con làm việc trái pháp luật, trái đạo đức xã hội.",05_69_4
Cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ,05_69_4
Cha mẹ không được phân biệt đối xử với con trên cơ sở giới hoặc theo tình trạng hôn nhân của cha mẹ,05_69_4
"Theo Điều 70, con có quyền được thương yêu, tôn trọng, phát triển lành mạnh về thể chất, trí tuệ và đạo đức; cũng như bổn phận yêu quý, kính trọng gia đình.",05_70_1
"Con đã thành niên mất năng lực hành vi dân sự hoặc không có khả năng lao động và không có tài sản để tự nuôi mình thì có quyền sống chung cha mẹ, được cha mẹ trông nom, nuôi dưỡng, chăm sóc.",05_70_3
"Con chưa thành niên có quyền sống chung với cha mẹ được cha mẹ trông nom nuôi dưỡng chăm sóc tham gia công việc gia đình phù hợp với lứa tuổi và không trái quy định của pháp luật về bảo vệ, chăm sóc và giáo dục trẻ em. ",05_70_3
